"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"666","2014-01-01 00:29:54","2014-01-01 00:41:00","486","Broadway & W 29 St","40.7462009","-73.98855723","168","W 18 St & 6 Ave","40.73971301","-73.99456405","18907","Subscriber","1982","2"
"675","2014-01-01 00:32:13","2014-01-01 00:43:28","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","17145","Subscriber","1976","1"
"735","2014-01-01 00:32:20","2014-01-01 00:44:35","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","15495","Subscriber","1977","1"
"714","2014-01-01 00:32:27","2014-01-01 00:44:21","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","19673","Subscriber","1976","1"
"342","2014-01-01 00:32:37","2014-01-01 00:38:19","244","Willoughby Ave & Hall St","40.69196035","-73.96536851","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","19621","Subscriber","1980","1"
"222","2014-01-01 00:33:04","2014-01-01 00:36:46","302","Avenue D & E 3 St","40.72082834","-73.97793172","317","E 6 St & Avenue B","40.72453734","-73.98185424","15213","Subscriber","1978","1"
"303","2014-01-01 00:33:18","2014-01-01 00:38:21","244","Willoughby Ave & Hall St","40.69196035","-73.96536851","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","19084","Subscriber","1982","2"
"240","2014-01-01 00:35:08","2014-01-01 00:39:08","401","Allen St & Rivington St","40.72019576","-73.98997825","428","E 3 St & 1 Ave","40.72467721","-73.98783413","18054","Subscriber","1975","2"
"1619","2014-01-01 00:35:21","2014-01-01 01:02:20","146","Hudson St & Reade St","40.71625008","-74.0091059","507","E 25 St & 2 Ave","40.73912601","-73.97973776","20729","Subscriber","1962","2"
"425","2014-01-01 00:36:15","2014-01-01 00:43:20","128","MacDougal St & Prince St","40.72710258","-74.00297088","382","University Pl & E 14 St","40.73492695","-73.99200509","21086","Subscriber","1971","1"
"885","2014-01-01 00:36:21","2014-01-01 00:51:06","334","W 20 St & 7 Ave","40.74238787","-73.99726235","439","E 4 St & 2 Ave","40.7262807","-73.98978041","15978","Subscriber","1960","1"
"709","2014-01-01 00:36:28","2014-01-01 00:48:17","402","Broadway & E 22 St","40.7403432","-73.98955109","128","MacDougal St & Prince St","40.72710258","-74.00297088","18905","Subscriber","1985","1"
"1001","2014-01-01 00:36:33","2014-01-01 00:53:14","404","9 Ave & W 14 St","40.7405826","-74.00550867","403","E 2 St & 2 Ave","40.72502876","-73.99069656","21183","Subscriber","1981","1"
"611","2014-01-01 00:37:12","2014-01-01 00:47:23","354","Emerson Pl & Myrtle Ave","40.69363137","-73.96223558","278","Concord St & Bridge St","40.69766564","-73.98476437","14531","Subscriber","1987","1"
"1348","2014-01-01 00:37:46","2014-01-01 01:00:14","386","Centre St & Worth St","40.71494807","-74.00234482","366","Clinton Ave & Myrtle Ave","40.693261","-73.968896","20298","Customer",\N,"0"
"511","2014-01-01 00:38:26","2014-01-01 00:46:57","218","Gallatin Pl & Livingston St","40.69028437","-73.98707105","418","Front St & Gold St","40.70224","-73.982578","15169","Subscriber","1969","1"
"525","2014-01-01 00:38:33","2014-01-01 00:47:18","218","Gallatin Pl & Livingston St","40.69028437","-73.98707105","418","Front St & Gold St","40.70224","-73.982578","20064","Subscriber","1979","2"
"649","2014-01-01 00:38:33","2014-01-01 00:49:22","160","E 37 St & Lexington Ave","40.748238","-73.978311","2022","E 59 St & Sutton Pl","40.75849116","-73.95920622","19894","Subscriber","1965","1"
"107","2014-01-01 00:38:43","2014-01-01 00:40:30","326","E 11 St & 1 Ave","40.72953837","-73.98426726","236","St Marks Pl & 2 Ave","40.7284186","-73.98713956","17271","Subscriber","1970","1"
"1317","2014-01-01 00:39:37","2014-01-01 01:01:34","521","8 Ave & W 31 St","40.75044999","-73.99481051","79","Franklin St & W Broadway","40.71911552","-74.00666661","18105","Subscriber","1988","1"
"1511","2014-01-01 00:40:20","2014-01-01 01:05:31","363","West Thames St","40.70834698","-74.01713445","360","William St & Pine St","40.70717936","-74.00887308","21164","Customer",\N,"0"
"951","2014-01-01 00:40:37","2014-01-01 00:56:28","363","West Thames St","40.70834698","-74.01713445","401","Allen St & Rivington St","40.72019576","-73.98997825","17214","Customer",\N,"0"
"1509","2014-01-01 00:40:41","2014-01-01 01:05:50","363","West Thames St","40.70834698","-74.01713445","360","William St & Pine St","40.70717936","-74.00887308","18644","Customer",\N,"0"
"1116","2014-01-01 00:40:41","2014-01-01 00:59:17","532","S 5 Pl & S 4 St","40.710451","-73.960876","517","Pershing Square S","40.75149263","-73.97798848","18424","Customer",\N,"0"
"557","2014-01-01 00:40:58","2014-01-01 00:50:15","319","Park Pl & Church St","40.71336124","-74.00937622","473","Rivington St & Chrystie St","40.72110063","-73.9919254","19330","Subscriber","1984","1"
"1487","2014-01-01 00:41:00","2014-01-01 01:05:47","529","W 42 St & 8 Ave","40.7575699","-73.99098507","229","Great Jones St","40.72743423","-73.99379025","14796","Subscriber","1961","1"
"659","2014-01-01 00:42:54","2014-01-01 00:53:53","433","E 13 St & Avenue A","40.72955361","-73.98057249","350","Clinton St & Grand St","40.71559509","-73.9870295","14860","Subscriber","1962","2"
"667","2014-01-01 00:44:12","2014-01-01 00:55:19","285","Broadway & E 14 St","40.73454567","-73.99074142","301","E 2 St & Avenue B","40.72217444","-73.98368779","16853","Subscriber","1953","1"
"270","2014-01-01 00:44:22","2014-01-01 00:48:52","399","Lafayette Ave & St James Pl","40.68851534","-73.9647628","365","Fulton St & Grand Ave","40.68223166","-73.9614583","18486","Subscriber","1964","2"
"669","2014-01-01 00:44:33","2014-01-01 00:55:42","499","Broadway & W 60 St","40.76915505","-73.98191841","515","W 43 St & 10 Ave","40.76009437","-73.99461843","17874","Subscriber","1982","1"
"1433","2014-01-01 00:45:56","2014-01-01 01:09:49","257","Lispenard St & Broadway","40.71939226","-74.00247214","495","W 47 St & 10 Ave","40.76269882","-73.99301222","17647","Subscriber","1962","1"
"239","2014-01-01 00:46:12","2014-01-01 00:50:11","307","Canal St & Rutgers St","40.71427487","-73.98990025","502","Henry St & Grand St","40.714215","-73.981346","15703","Subscriber","1984","1"
"372","2014-01-01 00:46:18","2014-01-01 00:52:30","450","W 49 St & 8 Ave","40.76227205","-73.98788205","285","Broadway & E 14 St","40.73454567","-73.99074142","17688","Subscriber","1983","1"
"147","2014-01-01 00:47:01","2014-01-01 00:49:28","320","Church St & Leonard St","40.71743998","-74.00583475","146","Hudson St & Reade St","40.71625008","-74.0091059","17198","Subscriber","1960","1"
