,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
71,2,2021-02-01 00:04:16,2021-02-01 00:14:23,1.0,1.23,1.0,N,186,164,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,
72,2,2021-02-01 00:35:28,2021-02-01 00:41:51,1.0,0.72,1.0,N,68,246,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,
73,2,2021-02-01 00:33:02,2021-02-01 00:53:59,1.0,6.95,1.0,N,132,205,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,0.0,
74,1,2021-02-01 00:00:15,2021-02-01 00:31:30,0.0,10.2,1.0,N,138,17,1,31.0,0.5,0.5,4.0,0.0,0.3,36.3,0.0,
75,2,2021-01-31 23:57:54,2021-02-01 00:02:57,6.0,1.44,1.0,N,158,100,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5,
76,2,2021-02-01 00:22:06,2021-02-01 00:25:48,6.0,0.89,1.0,N,68,68,2,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5,
77,2,2021-02-01 00:46:31,2021-02-01 00:49:31,6.0,0.47,1.0,N,186,48,2,4.0,0.5,0.5,0.0,0.0,0.3,7.8,2.5,
78,1,2021-02-01 00:14:16,2021-02-01 00:18:41,1.0,0.7,1.0,N,68,50,2,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5,
79,1,2021-02-01 00:31:41,2021-02-01 00:49:20,1.0,3.6,1.0,N,48,4,1,14.0,3.0,0.5,10.0,0.0,0.3,27.8,2.5,
80,1,2021-02-01 00:59:02,2021-02-01 01:03:15,1.0,0.8,1.0,N,224,4,1,5.0,3.0,0.5,2.2,0.0,0.3,11.0,2.5,
81,1,2021-02-01 00:37:40,2021-02-01 01:19:52,0.0,8.7,1.0,N,239,198,2,31.0,3.0,0.5,0.0,0.0,0.3,34.8,2.5,
82,1,2021-02-01 00:25:06,2021-02-01 00:35:46,1.0,4.2,1.0,N,264,264,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,0.0,
83,1,2021-02-01 00:03:36,2021-02-01 00:06:51,1.0,0.5,1.0,N,186,90,1,4.5,3.0,0.5,2.49,0.0,0.3,10.79,2.5,
84,1,2021-02-01 00:16:35,2021-02-01 00:29:56,1.0,2.2,1.0,N,186,142,1,10.5,3.0,0.5,3.55,0.0,0.3,17.85,2.5,
85,1,2021-02-01 00:49:41,2021-02-01 01:00:17,1.0,1.9,1.0,N,146,179,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,0.0,
86,1,2021-02-01 00:31:01,2021-02-01 00:55:19,1.0,8.1,1.0,N,132,95,2,26.0,0.5,0.5,0.0,0.0,0.3,27.3,0.0,
87,2,2021-02-01 00:33:14,2021-02-01 01:24:03,1.0,16.89,1.0,N,132,89,1,48.5,0.5,0.5,2.0,0.0,0.3,51.8,0.0,
88,2,2021-02-01 00:20:45,2021-02-01 00:27:48,2.0,1.31,1.0,N,75,74,1,6.5,0.5,0.5,2.2,0.0,0.3,10.0,0.0,
89,1,2021-02-01 00:46:11,2021-02-01 00:48:31,1.0,0.4,1.0,N,107,234,1,3.5,3.0,0.5,2.15,0.0,0.3,9.45,2.5,
90,1,2021-02-01 00:51:41,2021-02-01 01:04:34,1.0,1.8,1.0,N,234,4,2,9.5,3.0,0.5,0.0,0.0,0.3,13.3,2.5,
91,2,2021-02-01 00:32:22,2021-02-01 01:12:16,2.0,15.59,1.0,N,68,259,1,45.0,0.5,0.5,5.0,0.0,0.3,53.8,2.5,
92,1,2021-02-01 00:51:57,2021-02-01 01:16:04,2.0,9.0,1.0,N,142,127,4,26.5,3.0,0.5,0.0,0.0,0.3,30.3,2.5,
93,2,2021-02-01 00:17:59,2021-02-01 00:25:27,1.0,1.37,1.0,N,186,137,2,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5,
94,2,2021-02-01 00:15:27,2021-02-01 00:19:19,1.0,1.18,1.0,N,141,75,1,5.5,0.5,0.5,4.0,0.0,0.3,13.3,2.5,
95,2,2021-02-01 00:27:59,2021-02-01 00:39:38,1.0,2.09,1.0,N,141,263,1,9.5,0.5,0.5,2.39,0.0,0.3,15.69,2.5,
96,2,2021-02-01 00:30:58,2021-02-01 00:32:21,1.0,0.37,1.0,N,264,264,1,3.0,0.5,0.5,2.04,0.0,0.3,8.84,2.5,
97,1,2021-02-01 00:26:45,2021-02-01 00:42:13,1.0,3.3,1.0,N,146,193,1,12.5,0.5,0.5,1.0,0.0,0.3,14.8,0.0,
98,1,2021-02-01 00:44:28,2021-02-01 00:44:42,1.0,0.0,1.0,N,193,193,3,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0,
99,2,2021-02-01 00:06:19,2021-02-01 00:12:48,1.0,1.17,1.0,N,233,164,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,
100,2,2021-02-01 00:28:37,2021-02-01 00:32:10,1.0,0.6,1.0,N,230,48,1,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,
101,2,2021-02-01 00:34:01,2021-02-01 00:37:48,1.0,0.54,1.0,N,48,48,1,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,
102,1,2021-02-01 00:23:07,2021-02-01 00:28:22,1.0,0.5,1.0,N,48,142,1,5.0,2.5,0.5,2.45,0.0,0.3,10.75,2.5,
103,1,2021-02-01 00:36:44,2021-02-01 00:45:10,1.0,1.1,1.0,N,48,230,2,7.0,2.5,0.5,0.0,0.0,0.3,10.3,2.5,
104,1,2021-02-01 00:19:01,2021-02-01 00:29:46,1.0,2.5,1.0,N,90,229,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5,
105,2,2021-02-01 00:05:20,2021-02-01 00:11:26,1.0,2.05,1.0,N,163,236,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,
106,2,2021-02-01 00:23:52,2021-02-01 01:07:16,1.0,12.46,1.0,N,170,14,1,40.0,0.5,0.5,0.0,0.0,0.3,43.8,2.5,
107,2,2021-02-01 00:22:17,2021-02-01 01:16:14,2.0,18.82,1.0,N,132,185,2,57.5,0.5,0.5,0.0,6.12,0.3,64.92,0.0,
108,2,2021-02-01 00:20:47,2021-02-01 00:33:09,1.0,4.94,1.0,N,79,75,1,15.0,0.5,0.5,10.0,0.0,0.3,28.8,2.5,
109,2,2021-02-01 00:36:44,2021-02-01 00:47:54,2.0,5.18,1.0,N,132,203,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,0.0,
110,2,2021-02-01 00:09:51,2021-02-01 00:29:01,1.0,5.61,1.0,N,137,80,1,18.5,0.5,0.5,4.01,0.0,0.3,26.31,2.5,
111,1,2021-02-01 00:15:27,2021-02-01 00:38:16,1.0,9.9,1.0,Y,256,28,2,27.5,0.5,0.5,0.0,0.0,0.3,28.8,0.0,
112,1,2021-02-01 00:43:43,2021-02-01 00:50:43,1.0,1.1,1.0,N,137,100,2,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5,
113,2,2021-01-31 23:53:54,2021-02-01 00:14:01,5.0,4.53,1.0,N,48,112,2,16.5,0.5,0.5,0.0,6.12,0.3,26.42,2.5,
114,2,2021-02-01 00:16:54,2021-02-01 00:46:28,5.0,4.42,1.0,N,112,80,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,0.0,
115,2,2021-01-31 23:38:51,2021-02-01 00:07:06,1.0,9.78,1.0,N,236,97,2,29.5,0.5,0.5,0.0,0.0,0.3,33.3,2.5,
116,2,2021-02-01 00:16:47,2021-02-01 00:57:55,3.0,7.66,1.0,N,186,37,2,29.5,0.5,0.5,0.0,0.0,0.3,33.3,2.5,
117,2,2021-02-01 00:06:26,2021-02-01 00:14:55,1.0,1.88,1.0,N,190,181,1,8.0,0.5,0.5,10.0,0.0,0.3,19.3,0.0,
118,2,2021-02-01 00:56:29,2021-02-01 01:18:09,1.0,6.9,1.0,N,137,42,1,21.5,0.5,0.5,7.59,0.0,0.3,32.89,2.5,
119,1,2021-02-01 00:08:25,2021-02-01 00:13:32,2.0,1.0,1.0,N,137,164,1,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5,
120,1,2021-02-01 00:32:25,2021-02-01 00:34:47,1.0,0.7,1.0,N,224,137,1,4.0,3.0,0.5,1.55,0.0,0.3,9.35,2.5,
121,1,2021-02-01 00:13:47,2021-02-01 00:43:12,1.0,7.7,1.0,N,186,42,1,26.0,3.0,0.5,5.0,0.0,0.3,34.8,2.5,
122,1,2021-02-01 00:23:30,2021-02-01 00:31:45,1.0,1.8,1.0,N,75,42,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0.0,
123,2,2021-02-01 00:19:21,2021-02-01 00:25:33,5.0,0.9,1.0,N,164,234,1,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5,
124,2,2021-02-01 00:37:48,2021-02-01 00:46:06,4.0,1.44,1.0,N,186,163,1,7.0,0.5,0.5,3.24,0.0,0.3,14.04,2.5,
